cx,cy,cyaw,ck,sp
0.0,0.0,-0.4650522651484082,1.1942246247958916e-15,0.2777777777777778
0.07952614630891909,-0.039902770073326585,-0.4650512127400684,2.3652881382075532e-05,2.7777777777777777
0.15906551765378982,-0.0798119663606696,-0.46504805655814474,4.727060612010408e-05,2.7777777777777777
0.23863133907056386,-0.11973401507604553,-0.46504279972933926,7.081813363001844e-05,2.7777777777777777
0.3182368355951927,-0.15967534243347078,-0.4650354474562233,9.426065477176552e-05,2.7777777777777777
0.39789523226362816,-0.19964237464696177,-0.46502600700437874,0.00011756370590411172,2.7777777777777777
0.47761975411182195,-0.2396415379305351,-0.4650144876844809,0.0001406932809520925,2.7777777777777777
0.5574236261757254,-0.2796792584982071,-0.4650009008294029,0.00016361594085371198,2.7777777777777777
0.6373200734912905,-0.3197619625639942,-0.4649852597664476,0.00018629891977440326,2.7777777777777777
0.7173223210944685,-0.35989607634191295,-0.4649675797848328,0.00020871022750609887,2.7777777777777777
0.7974435940212113,-0.40008802604597976,-0.46494787809857724,0.0002308187475009307,2.7777777777777777
0.8776971173074707,-0.4403442378902111,-0.46492617380495516,0.0002525943300272926,2.7777777777777777
0.9580961159891982,-0.4806711380886234,-0.46490248783870336,0.00027400787997759285,2.7777777777777777
1.0386538151023452,-0.521075152855233,-0.46487684292218534,0.00029503143890224773,2.7777777777777777
1.1193834396828635,-0.5615627084040565,-0.464849263511729,0.00031563826089256214,2.7777777777777777
1.200298214766705,-0.6021402309491103,-0.4648197757403729,0.00033580288198566913,2.7777777777777777
1.281411365389821,-0.6428141467044111,-0.46478840735726434,0.0003555011828170649,2.7777777777777777
1.362736116588163,-0.6835908818839749,-0.46475518766396734,0.0003747104442998163,2.7777777777777777
1.4442856933976833,-0.7244768627018183,-0.4647201474479452,0.00039340939616372314,2.7777777777777777
1.5260733208543331,-0.765478515371958,-0.464683318913491,0.00041157825824202424,2.7777777777777777
1.6081122239940637,-0.8066022661084101,-0.46464473561038666,0.00042919877444694965,2.7777777777777777
1.6904156278528275,-0.8478545411251913,-0.46460443236057114,0.0004462542394281217,2.7777777777777777
1.772996757466576,-0.8892417666363183,-0.4645624451831059,0.0004627295179590282,2.7777777777777777
1.8558688378712602,-0.9307703688558069,-0.46451881121772204,0.0004786110571458202,2.7777777777777777
1.9390450941028323,-0.9724467739976739,-0.4644735686472365,0.0004938868915994877,2.7777777777777777
2.0225387511972435,-1.0142774082759356,-0.46442675661911687,0.0005085466417560824,2.7777777777777777
2.1063630341904456,-1.0562686979046088,-0.4643784151664776,0.0005225815055706543,2.7777777777777777
2.190531168118391,-1.0984270690977098,-0.4643285851287772,0.0005359842438473391,2.7777777777777777
2.2750563780170308,-1.140758948069255,-0.46427730807248474,0.0005487491595019977,2.7777777777777777
2.3599518889223163,-1.183270761033261,-0.46422462621197363,0.000560872071083154,2.7777777777777777
2.4452309258701987,-1.2259689342037432,-0.4641705823308912,0.0005723502809029425,2.7777777777777777
2.5309067138966315,-1.2688598937947198,-0.4641152197042431,0.0005831825381511213,2.7777777777777777
2.616992478037565,-1.3119500660202064,-0.4640585820214207,0.0005933689973833266,2.7777777777777777
2.70350144332895,-1.355245877094219,-0.46400071331038567,0.000602911172787755,2.7777777777777777
2.7904468348067404,-1.3987537532307748,-0.4639416578632156,0.0006118118886446364,2.7777777777777777
2.877841877506886,-1.4424801206438898,-0.4638814601632005,0.0006200752263984319,2.7777777777777777
2.965699796465339,-1.486431405547581,-0.46382016481366495,0.0006277064687648602,2.7777777777777777
3.0540338167180514,-1.530614034155864,-0.46375781646867875,0.0006347120412937497,2.7777777777777777
3.1428571633009743,-1.575034432682756,-0.4636944597658026,0.0006410994518038036,2.7777777777777777
3.2321830612500597,-1.6196990273422731,-0.46363013926100355,0.0006468772280982218,2.7777777777777777
3.322024735601259,-1.6646142443484315,-0.46356489936585643,0.0006520548543592423,2.7777777777777777
3.412395411390525,-1.7097865099152487,-0.4634987842871372,0.0006566427066071482,2.7777777777777777
3.5033083136538066,-1.7552222502567396,-0.46343183796889886,0.0006606519875941914,2.7777777777777777
3.5947766674270576,-1.8009278915869218,-0.4633641040371029,0.0006640946614864334,2.7777777777777777
3.68681369774623,-1.8469098601198117,-0.46329562574687255,0.0006669833886684893,2.7777777777777777
3.779432629647274,-1.8931745820694252,-0.4632264459324139,0.0006693314609854134,2.7777777777777777
3.8726466881661423,-1.9397284836497792,-0.4631566069596427,0.000671152737715298,2.7777777777777777
3.9664690983387856,-1.9865779910748897,-0.4630861506815397,0.0006724615825439318,2.7777777777777777
4.0609130852011575,-2.033729530558774,-0.4630151183962484,0.0006732728017905059,2.7777777777777777
4.1559918737892065,-2.0811895283154476,-0.46294355080791383,0.0006736015841100775,2.7777777777777777
4.251718689138886,-2.128964410558927,-0.4628714879902545,0.0006734634418761733,2.7777777777777777
4.348106756286147,-2.1770606035032296,-0.46279896935284787,0.0006728741544233294,2.7777777777777777
4.445169300266944,-2.2254845333623705,-0.4627260336100991,0.0006718497133073043,2.7777777777777777
4.542919546117225,-2.2742426263503677,-0.46265271875285824,0.0006704062697183883,2.7777777777777777
4.641370718872943,-2.3233413086812362,-0.46257906202263754,0.0006685600841617064,2.7777777777777777
4.7405360435700485,-2.3727870065689936,-0.4625050998883796,0.0006663274784978313,2.7777777777777777
4.840428745244497,-2.4225861462276557,-0.46243086802571526,0.0006637247904170797,2.7777777777777777
4.941062048932235,-2.4727451538712395,-0.4623564012986471,0.0006607683304019524,2.7777777777777777
